artista,genero,anio,similares,bio,listeners,playcount
Nat King Cole,jazz,2022,"The Nat King Cole Trio, Dean Martin, Bing Crosby","Nat ""King"" Cole (March 17th 1919–February 15th  1965) was a popular American singer and jazz musician. 

As a piano player, he formed a jazz trio in 1938 that played Los Angeles nightclubs, one of the first jazz trios featuring guitar and piano. Prior to this he had played music since he was a child and had worked with bands since he was sixteen. He was raised in Chicago and exposed to the abundant jazz scene there. He was heavily influenced by pianist Earl ""Fatha"" Hines. <a href=""https://www.last.fm/music/+noredirect/Nat+King+Cole"">Read more on Last.fm</a>",2817962,40875467
Billie Holiday,jazz,2023,"Ella Fitzgerald, Billie Holiday and Her Orchestra, Sarah Vaughan","Billie Holiday (Eleanora Fagan Gough, Philadelphia, PA, April 7, 1915 – New York City, NY, July 17, 1959) was an American jazz singer and songwriter.

Nicknamed Lady Day by her loyal friend and musical partner Lester Young, Holiday was a highly original influence on jazz and pop singing. Her vocal style, strongly inspired by jazz instrumentalists, pioneered a new way of manipulating phrasing and tempo. Above all, she was admired for her deeply personal and intimate approach to singing. <a href=""https://www.last.fm/music/+noredirect/Billie+Holiday"">Read more on Last.fm</a>",2251873,49713024
John Coltrane,jazz,2020,"Miles Davis, John Coltrane Quartet, Wayne Shorter","John William Coltrane (Hamlet, North Carolina, September 23, 1926  – Huntington, New York, July 17, 1967) was an American jazz  saxophonist and composer.

American jazz great John Coltrane emerged in the 1950s, playing tenor and soprano sax with Dizzy Gillespie, Miles Davis and Thelonious Monk. A leader of ""hard bop"", in the 1960s he led his own groups and changed the face of jazz with experimentation and improvisation, his later recordings reflecting his belief that music was a form of spiritual expression. <a href=""https://www.last.fm/music/+noredirect/John+Coltrane"">Read more on Last.fm</a>",1662281,41312967
Ezra Collective,jazz,2021,"Nubya Garcia, Ashley Henry, Nubiyan Twist","Ezra Collective is a five-piece from London (Femi Koleoso - Drums, TJ Koleoso - Bass, Joe Armon-Jones - Keys, Ife Ogunjobi - Trumpet and James Mollison - Saxophone). Dylan Jones previously was the trumpeter for the band.
They ""marry the delicate technicalities of jazz musicianship with afrobeat and hip hop"".
Their Juan Pablo: The Philosopher went on to win the accolade of Best Jazz Album at Gilles Peterson’s Worldwide Awards in January 2018. 
Ezra <a href=""https://www.last.fm/music/Ezra+Collective"">Read more on Last.fm</a>",313654,3952282
Norah Jones,jazz,2022,"Diana Krall, The Little Willies, Melody Gardot","Norah Jones, born on March 30, 1979 in New York City, is one of the most popular contemporary jazz and jazz-influenced singers of our time. She was a member of Wax Poetic before her debut album Come Away with Me. She can still be heard singing with them on two tracks of their release, NuBlu Sessions.

Her debut album Come Away with Me was released in 2002 and sold 26 million copies worldwide. It won 5 Grammy Awards in 2003. This album was produced by Arif Mardin. <a href=""https://www.last.fm/music/+noredirect/Norah+Jones"">Read more on Last.fm</a>",2881847,100417148
Justin Hurwitz,jazz,2023,"La La Land Cast, Tim Simonec, Ryan Gosling, Emma Stone","Justin Hurwitz (born January 22, 1985) is an American film composer and a television writer. He is best known for his longtime collaboration with director Damien Chazelle, scoring each of his films: Guy and Madeline on a Park Bench (2009), Whiplash (2014), La La Land (2016), First Man (2018), and Babylon (2022).

For La La Land, Hurwitz won two Academy Awards, Best Original Score and Best Original Song (for ""City of Stars""), as well as the Golden <a href=""https://www.last.fm/music/Justin+Hurwitz"">Read more on Last.fm</a>",928093,23239971
Ray Charles,jazz,2020,"Otis Redding, Etta James, Aretha Franklin","Ray Charles (Ray Charles Robinson,  Albany, Georgia, September 23, 1930 - Beverly Hills, California, June 10, 2004), was an American singer-songwriter, musician, arranger, and band leader. 

As a rock and roll, rhythm & blues, soul, blues, jazz, country and pop musician he helped to shape the sound of rhythm & blues.

He brought a soulful sound to everything from country music (""I Can't Stop Loving You"") to rock and roll (""Mess Around""), to pop standards to a now-iconic rendition of ""America the Beautiful. <a href=""https://www.last.fm/music/+noredirect/Ray+Charles"">Read more on Last.fm</a>",2671263,42287602
The Dave Brubeck Quartet,jazz,2021,"Dave Brubeck, Oscar Peterson Trio, Bill Evans Trio","The Dave Brubeck Quartet were an American modern jazz group formed in San Francisco in 1951 by jazz pianist Dave Brubeck (1920-2012). In what became known as the band's classic line-up, the band featured Joe Morello (1928–2011) on drums, Eugene Wright (1923-2020) on bass, and Paul Desmond (1924-1977) on saxophone.  The band remains best-known for their use of odd time signatures, and were a premier group in the cool jazz movement. They produced several standards, including Take Five and Blue Rondo à la Turk. <a href=""https://www.last.fm/music/The+Dave+Brubeck+Quartet"">Read more on Last.fm</a>",1034071,11941798
Dean Martin,jazz,2022,"Sammy Davis, Jr., Bobby Darin, Frank Sinatra","Dean Martin (born Dino Paul Crocetti; June 7, 1917 – December 25, 1995) was an American singer, actor, comedian, and producer. One of the most popular and enduring American entertainers of the mid-20th century, Martin was nicknamed the ""King of Cool"" for his seemingly effortless charisma and self-assurance. 

He and Jerry Lewis formed the immensely popular comedy duo Martin and Lewis, with Martin serving as the straight man to Lewis' slapstick hijinks. <a href=""https://www.last.fm/music/Dean+Martin"">Read more on Last.fm</a>",2720248,39062939
Duke Ellington,jazz,2023,"Duke Ellington & His Orchestra, Count Basie, Louis Armstrong","Duke Ellington (Edward Kennedy Ellington, April 29, 1899  - May 24, 1974) was an American jazz composer, pianist and bandleader, one of the most influential figures in jazz, if not in all American music.
Duke Ellington composed over 3000 songs, including: ""It Don't Mean A Thing If It Ain't Got That Swing"", ""Sophisticated Lady"", ""Mood Indigo"", “Solitude"", ""In a Mellotone"", and ""Satin Doll"". 
Through the ranks of Duke Ellington & His Orchestra passed some of the biggest names in jazz <a href=""https://www.last.fm/music/Duke+Ellington"">Read more on Last.fm</a>",1482475,23128690
"Grover Washington, Jr.",jazz,2020,"The Crusaders, David Sanborn, Bob James","Grover Washington, Jr. (December 12, 1943 - December 17, 1999) has been considered by many to be the founding father of smooth jazz and a master of the jazz funk genre, working as a prominent songwriter and talented saxophonist. Throughout the 1970s and 1980s, Washington made some of the genre's most memorable hits. These include ""Mister Magic"", Black Frost"", and ""The Best is Yet to Come"" (with Patti LaBelle on guest vocals).
 
In addition, he performed very frequently with other artists <a href=""https://www.last.fm/music/Grover+Washington,+Jr."">Read more on Last.fm</a>",1157654,10745194
Herbie Hancock,jazz,2021,"Wayne Shorter, Miles Davis, Freddie Hubbard","Herbert Jeffrey Hancock (born April 12, 1940) is a jazz  pianist and composer from Chicago, Illinois, United States. Hancock is one of jazz music's most important and influential pianists and composers. He embraced elements of rock, funk, and soul while adopting freer stylistic elements from jazz.

As part of Miles Davis' ""second great quintet"" Hancock helped redefine the role of a jazz rhythm section, and was later one of the first jazz musicians to embrace synthesizers and Jazz funk. <a href=""https://www.last.fm/music/Herbie+Hancock"">Read more on Last.fm</a>",1496047,22348622
The Ink Spots,jazz,2022,"Bob Crosby And The Bobcats, Jack Shaindlin, Betty Hutton","(1934-1954)

The Ink Spots were a vocal group in the 1930s and 1940s that helped define the musical genre that led to rhythm and blues and rock and roll, and the subgenre doo-wop. They gained much acceptance in both the white community and black community largely due to the ballad style introduced to the group by lead singer Bill Kenny. They were inducted into the Rock & Roll hall of fame in 1999.

Their songs usually began with a guitar riff, followed by the tenor Bill Kenny, who sang the whole song through. <a href=""https://www.last.fm/music/The+Ink+Spots"">Read more on Last.fm</a>",898427,12612517
Bill Evans,jazz,2023,"Bill Evans Trio, Bill Evans & Jim Hall, Bud Powell","There are at least three artists with this name: a jazz pianist, a jazz saxophonist and a banjo player.

1.) Bill Evans (born William John Evans; 16th August 1929-15th September 1980) was one of the most famous jazz pianists of the twentieth century. Along with McCoy Tyner and Oscar Peterson, he was the force behind the biggest evolution in jazz piano since Art Tatum and Bud Powell. 

His use of impressionistic harmony, his inventive interpretation of traditional jazz repertoire <a href=""https://www.last.fm/music/Bill+Evans"">Read more on Last.fm</a>",1117633,25774777
George Benson,jazz,2020,"Al Jarreau, Lee Ritenour, George Duke","George Benson is a jazz guitarist born in Pittsburgh, Pennsylvania, USA on 22 March 1943. He started out playing straight-ahead instrumental jazz with organist Jack McDuff. Benson got his first experience playing with his several-year stint with McDuff's group. In 1964, at the age of 21, Benson recorded his first album as leader, The New Boss Guitar, with Brother Jack McDuff on organ.

Benson's next recording was It's Uptown with the George Benson Quartet with Lonnie Smith on organ and Ronnie Cuber on baritone sax. <a href=""https://www.last.fm/music/George+Benson"">Read more on Last.fm</a>",1064378,12275395
The Seatbelts,jazz,2021,"Mai Yamane, Steve Conte, Tulivu-Donna Cumberbatch","シートベルツ  (Seatbelts) is a Japanese blues/jazz band led by composer and instrumentalist 菅野よう子 (Yoko Kanno). Their style is very diverse and ranges from straightforward big-band jazz to more refined rock 'n roll and blues ballads. 

Since most of the band's prolific output revolves around instrumental work, Seatbelts have no de facto lead singer but Steve Conte (from The Contes and Crown Jewels) and 山根麻以 (Mai Yamane) have contributed to and sung for several tracks. <a href=""https://www.last.fm/music/The+Seatbelts"">Read more on Last.fm</a>",96694,6076463
Bill Evans Trio,jazz,2022,"Bill Evans, Bill Evans & Jim Hall, Oscar Peterson Trio","One of the most famous and influential jazz pianists of the 20th century, Bill Evans formed the acclaimed piano trio in 1959, along with bassist Scott LaFaro and drummer Paul Motian. Evans' focus in this trio was jazz standards and original compositions, with an emphasis on interplay among the band members that often bordered on collective improvisation and blurred the line between soloist and accompanist. This trio recorded four albums: Portrait in Jazz (1959) <a href=""https://www.last.fm/music/Bill+Evans+Trio"">Read more on Last.fm</a>",650199,11682485
Cortex,jazz,2023,"Jiro Inagaki and His Soul Media, Tarika Blue, O'Donel Levy","Four (or more) artists have gone by the name Cortex: a French jazz-funk group from the 70s, a Swedish punk band, a Spanish metalcore band, a Macedonian thrash/death band and a experimental Belgian project by Alain Neffe, a Norwegian free jazz quartet.

1. A French jazz funk group from the seventies. 
Key members were Alain Mion (Piano) and Alain Gandolfi (drums, percussion). Cortex recorded several albums and singles for the Sonodisc label. 2 albums got re-issued: 'Troupeau Bleu' (on 'Dare-Dare') and 'Volume 2' (on 'Follow Me'). <a href=""https://www.last.fm/music/Cortex"">Read more on Last.fm</a>",662106,10584669
Masego,jazz,2020,"SiR, Rayana Jay, Enny","Micah Davis (born June 8, 1993), better known by his stage name Masego, is a Jamaican-American musician with South African roots. Masego is an international, contemporary genre bending entertainer who refers to his own music style as ""TrapHouseJazz"" or Emotion. He released his first album ""Loose Thoughts"" in 2016, but it was his collaborative record “Tadow” that has amassed over 47 million views on Youtube (508 million as of January 2025) and gained him international recognition. <a href=""https://www.last.fm/music/Masego"">Read more on Last.fm</a>",960774,18550158
Yusef Lateef,jazz,2021,"Rahsaan Roland Kirk, Elvin Jones, Ahmad Jamal Trio","Dr. Yusef Lateef (born William Emanuel Huddleston, October 9, 1920 – December 23, 2013) was an American  jazz multi-instrumentalist, composer  and educator and a renowned spokesman for the Ahmadiyya Muslim Community after his conversion to Islam in 1950. Lateef was born in Chattanooga, Tennessee, but his family moved to Detroit, Michigan  in 1925.

Although Lateef's main instruments are the tenor saxophone and flute, he is known for his innovative blending of jazz with Eastern music. <a href=""https://www.last.fm/music/Yusef+Lateef"">Read more on Last.fm</a>",477174,4955856
Mulatu Astatke,jazz,2022,"Mulatu Astatke & The Heliocentrics, Girma Hadgu, Gétatchèw Mèkurya","Mulatu Astatke (born 19 December 1943) is an Ethiopian musician and arranger widely regarded as the father of Ethio-jazz.

Born in Jimma, he received formal musical training in London, New York City, and Boston, where he developed a fusion of jazz and Latin music with traditional Ethiopian sounds. As a bandleader, Mulatu performed on the vibraphone and conga drums—both of which he introduced to Ethiopian popular music—as well as other percussion instruments, keyboards, and organs. <a href=""https://www.last.fm/music/Mulatu+Astatke"">Read more on Last.fm</a>",465004,7559788
Bobby Darin,jazz,2023,"Dean Martin, Perry Como, Sammy Davis, Jr.","Bobby Darin (May 14, 1936 - December 20, 1973, Bronx NY.) was born Walden Robert Cassotto and was one of the most popular rock and roll American teen idols of the late 1950s. However, he is widely respected for being a multi-talented, versatile performer.

Darin was a very special and talented entertainer. He was a Grammy award winning singer ('Mack The Knife'), a respected member of the Rock and Roll Hall of Fame ('Dream Lover', 'Splish Splash', 'If I Were A Carpenter') a member of the Songwriters Hall of Fame <a href=""https://www.last.fm/music/Bobby+Darin"">Read more on Last.fm</a>",1291635,11890638
Paul Anka,jazz,2020,"Neil Sedaka, Jimmy Clanton, Johnny Tillotson","Paul Albert Anka (born July 30, 1941, in Ottawa, Ontario, Canada) is a Lebanese-Canadian singer and songwriter.

He began singing as a child, first starting in the St Elijah Syrian Orthodox Church choir in Ottawa. As a student at Ottawa's Fisher Park High School he was part of a trio called the Bobby Soxers.

Encouraged by his parents, at age 14 he recorded his first single, I Confess. In 1957 he went to New York City where he auditioned for ABC, singing a lovestruck verse he had written to a former babysitter, Diana Ayoub. <a href=""https://www.last.fm/music/Paul+Anka"">Read more on Last.fm</a>",1176076,10045420
John Coltrane Quartet,jazz,2021,"John Coltrane, Wes Montgomery Trio, Charlie Parker Quartet","John Coltrane formed his first group, a quartet, in 1960. After moving through different personnel including Steve Kuhn, Pete LaRoca, and Billy Higgins, the lineup stabilized in the fall with pianist McCoy Tyner, bassist Steve Davis, and drummer Elvin Jones. Tyner, from Philadelphia, had been a friend of Coltrane's for some years and the two men long had an understanding that the pianist would join Coltrane when Tyner felt ready for the exposure of regularly working with him. <a href=""https://www.last.fm/music/John+Coltrane+Quartet"">Read more on Last.fm</a>",493037,5028467
Jacob Collier,jazz,2022,"Vulfpeck, Cory Henry, Vulfmon","Jacob Collier (born 2 August 1994) is a British singer, arranger, composer, producer, and multi-instrumentalist based in London, England. In 2012, his homemade split-screen video covers of popular songs, such as Stevie Wonder's ""Don't You Worry 'bout a Thing"", began to go viral on YouTube. Since then, he has attracted a worldwide following, accumulating tens of millions of views across multiple social media platforms.

Collier's style fuses elements of jazz <a href=""https://www.last.fm/music/Jacob+Collier"">Read more on Last.fm</a>",493277,10779039
Ryo Fukui,jazz,2023,"Jiro Inagaki and His Soul Media, Hiroshi Suzuki, 鈴木 弘","Ryo Fukui (福居良) was a Japanese jazz pianist. He was born in 1948 in Biratori, Hokkaido. He released his debut album Scenery in 1976 and was based in Sapporo, where he played regularly at the Slowboat jazz club. Ryo Fukui died on March 15, 2016. <a href=""https://www.last.fm/music/Ryo+Fukui"">Read more on Last.fm</a>",266099,4659134
Thundercat,jazz,2020,"Louis Cole, The Internet, Steve Lacy","Stephen Lee Bruner, stage name Thundercat (b. October 19 1984, Los Angeles, CA, USA) is a virtuoso bassist, composer, producer and singer. Born into a family of musicians, he and his brother were part of legendary thrash punks Suicidal Tendencies (since 16 years of age) - Bruner has collaborated with many, including jams with Snoop Dogg, Kendrick Lamar, Mac Miller and Stanley Clarke. 

“I do believe that hip-hop can be the new jazz, and I’m helping create that”, Bruner said in an interview to Bass Player, in 2008. <a href=""https://www.last.fm/music/Thundercat"">Read more on Last.fm</a>",1874653,69294507
Arthur Verocai,jazz,2021,"Ana Mazzotti, Tamba 4, Lô Borges","Born Arthur Cortes Verocai in Rio de Janeiro, Brazil on 17/6/1945, he studied music with Lô Soares, Darci Villaverde, Nair Barbosa da Silva, Roberto Menescal and Vilma Graça. In 1966 Leny Andrade included his song ""Olhando o Mar"" (""Looking at the Sea"") on her ""We Are There"" album. Two years later Verocai participated in Musicanossa an event that brought together composers, musicians and singers in presentations to play live in the Santa Rosa Theater in Rio de Janeiro, for which he wrote his first arrangements. <a href=""https://www.last.fm/music/Arthur+Verocai"">Read more on Last.fm</a>",347114,7147758
Wes Montgomery,jazz,2022,"Grant Green, Kenny Burrell, Joe Pass","John Leslie ""Wes"" Montgomery (March 6, 1923 – June 15, 1968) was an American jazz guitarist. He is widely considered one of the major jazz guitarists, emerging after such seminal figures as Django Reinhardt and Charlie Christian and influencing countless others, including George Benson, Kenny Burrell, Royce Campbell, Grant Green, Jimi Hendrix, Steve Howe, Russell Malone, Pat Martino, Pat Metheny, Lee Ritenour, Randy Napoleon, and Emily Remler.
 <a href=""https://www.last.fm/music/Wes+Montgomery"">Read more on Last.fm</a>",760855,10099342
Charles Mingus,jazz,2023,"John Coltrane, Thelonious Monk, Art Blakey & The Jazz Messengers","Charles Mingus (22nd April 1922 – 5th January 1979) was an American jazz bassist, composer, bandleader, and occasional pianist from Los Angeles. He was also known for his activism against racial injustice.

Mingus' legacy is notable: he is ranked among the finest composers and performers in jazz, and recorded many highly regarded albums. Dozens of musicians passed through his bands and later went on to impressive careers. His songs - though melodic and distinctive - are not often recorded by later musicians <a href=""https://www.last.fm/music/+noredirect/Charles+Mingus"">Read more on Last.fm</a>",1019042,18331979
Antônio Carlos Jobim,jazz,2020,"João Gilberto, João Donato, Roberto Menescal E Seu Conjunto","Antônio Carlos Brasileiro de Almeida Jobim (January 25, 1927 – December 8, 1994), also known as Tom Jobim, was a Brazilian composer, pianist, songwriter, arranger and singer. Widely considered as one of the great exponents of Brazilian music, Jobim internationalized bossa nova and, with the help of important American artists, merged it with jazz in the 1960s to create a new sound with remarkable popular success. As such he is sometimes known as the ""father of bossa nova"". <a href=""https://www.last.fm/music/Ant%C3%B4nio+Carlos+Jobim"">Read more on Last.fm</a>",1082825,19084953
Julie London,jazz,2021,"Peggy Lee, Blossom Dearie, Sarah Vaughan","Julie London (née Peck; September 26,1926  — October 18, 2000) was an American jazz and pop singer and actress. She was noted for her smoky, sensual voice and languid demeanor. She released 32 albums of pop and jazz standards during the 1950s and 1960s, with her signature song being the classic ""Cry Me a River,"" which she introduced in 1955.

London's 35-year acting career began in films in 1944 and included playing opposite Gary Cooper in Man of the West (1958) and Robert Mitchum in The Wonderful Country (1959). <a href=""https://www.last.fm/music/Julie+London"">Read more on Last.fm</a>",1193441,13462905
Caravan Palace,jazz,2022,"Swingrowers, The Electric Swing Circus, Jamie Berry","Paris, France (2005 – present)

It all started with a double bass player, a guitarist and a violinist; all highly talented musicians who are really into swing, Django addicts who enjoy tinkering with electro. Their project swayed a singer, a clarinettist, a trombonist who doubles up on percussion and a guitarist who also acts as DJ. With their “Zazou” look (inspired by Parisian paleo-punks from the 1940s), they serve up festive, frantic music, an improbable futuristic and melodious Charleston fit for the dance floor. <a href=""https://www.last.fm/music/Caravan+Palace"">Read more on Last.fm</a>",825223,27409973
Thelonious Monk,jazz,2023,"Bud Powell, John Coltrane, Charles Mingus","Thelonious Sphere Monk (Rocky Mount, North Carolina 10th October 1917 - Hartsdale, New York 17th February 1982) was a jazz pianist and composer.

Widely considered as one of the most important musicians in jazz -- he is one of only five jazz musicians to be featured on the cover of Time -- Monk had a unique improvisational style and made numerous contributions to the standard jazz repertoire, including ""Epistrophy,"" ""'Round Midnight,"" ""Blue Monk,"" ""Straight No Chaser"" and ""Well, You Needn't.""  <a href=""https://www.last.fm/music/+noredirect/Thelonious+Monk"">Read more on Last.fm</a>",1063685,18840345
Miles Davis Quintet,jazz,2020,"Miles Davis, John Coltrane Quartet, Bill Evans Trio","The Miles Davis Quintet was an American jazz band from 1955 to early 1969 led by Miles Davis. The quintet underwent frequent personnel changes toward its metamorphosis into a different ensemble in 1969. Most references pertain to two distinct and relatively stable bands: the First Great Quintet from 1955 to 1958; and the Second Great Quintet from late 1964 to early 1969, Davis being the only constant throughout.

In the summer of 1955, Davis performed a noted set at the Newport Jazz Festival <a href=""https://www.last.fm/music/Miles+Davis+Quintet"">Read more on Last.fm</a>",547187,5030985
Oscar Peterson Trio,jazz,2021,"Oscar Peterson, Bill Evans Trio, Ben Webster & Oscar Peterson","Oscar Emmanuel Peterson (15 August 1925 – 23 December 2007) was a Canadian jazz pianist, vocalist and composer. Originally from Montreal, Quebec, Peterson is said to be one of the most technically brilliant and melodically inventive jazz pianists of all time, with a career that lasted more than 65 years.

Some of his musical associates have included Ray Brown, Ben Webster, Milt Jackson, Herb Ellis, Barney Kessel, Ed Thigpen, Niels-Henning Ørsted Pedersen <a href=""https://www.last.fm/music/Oscar+Peterson+Trio"">Read more on Last.fm</a>",567782,5833949
